문제ID,설계, 난이도,내용,보기1,보기2,보기3,보기4,보기답
DESIGN_H_009,설계,HARD,"한 개에 $1500$원인 사과와 $2000$원인 배를 합하여 $12$개를 사고, 총 금액을 $20000$원 이하로 하려고 할 때 배는 최대 몇 개까지 살 수 있는가?","구하고자 하는 배의 개수를 $x$로 두고, 사과의 개수를 $12-x$로 설정한다.","각 과일의 가격과 개수를 곱하여 총 금액을 $x$에 대한 식으로 나타낸다.","총 금액이 $20000$원 이하라는 조건을 이용하여 $x$에 대한 일차부등식을 세운다.","부등식을 풀고, 이를 만족하는 $x$의 값 중 가장 큰 자연수를 찾는다.",1-2-3-4
DESIGN_H_010,설계,HARD,"다항식 $(2x^2 - 3x + 1)(x^2 + 4x - 2)$의 전개식에서 $x^2$의 계수는?","전체를 전개하지 않고 곱해서 $x^2$ 항이 만들어지는 분배법칙의 조합만 찾을 계획을 세운다.","첫 번째 괄호의 $2x^2$과 두 번째 괄호의 상수항 $-2$를 곱하여 $-4x^2$을 구한다.","첫 번째 괄호의 $-3x$와 두 번째 괄호의 $4x$를 곱하여 $-12x^2$을 구한다.","첫 번째 괄호의 상수항 $1$과 두 번째 괄호의 $x^2$을 곱한 후, 앞서 구한 세 항을 모두 더해 계수를 찾는다.",1-2-3-4
DESIGN_H_011,설계,HARD,"이차방정식 $x^2 - (k+1)x + 2k = 0$의 한 근이 $3$일 때, 다른 한 근은?","주어진 근 $x=3$을 이차방정식에 대입하여 식이 성립함을 이용한다.","대입하여 만들어진 $k$에 대한 일차방정식을 풀어 상수 $k$의 값을 구한다.","구한 $k$의 값을 원래의 이차방정식 식에 대입하여 온전한 식을 완성한다.","완성된 이차방정식을 인수분해하여 주어진 근 $3$이 아닌 다른 한 근을 구한다.",1-2-3-4
DESIGN_H_012,설계,HARD,"무리수 $\sqrt{7}$의 정수 부분을 $a$, 소수 부분을 $b$라 할 때, $a+b^2$의 값은?","$\sqrt{7}$과 가장 가까운 양쪽의 완전제곱수를 찾아 $2 < \sqrt{7} < 3$임을 파악한다.","부등식을 통해 $\sqrt{7}$의 정수 부분 $a$가 $2$임을 구한다.","무리수에서 정수 부분을 뺀 값이 소수 부분이므로 $b = \sqrt{7} - 2$로 식을 세운다.","구한 $a$와 $b$의 값을 주어진 식 $a+b^2$에 대입하고 곱셈공식을 이용하여 계산한다.",1-2-3-4
DESIGN_H_013,설계,HARD,"연립부등식 $2x-5 < 3$ 이고 $4-x \le 2x+1$ 을 만족하는 정수 $x$의 개수는?","첫 번째 일차부등식에서 상수항을 이항하고 양변을 나누어 $x$의 해의 범위를 구한다.","두 번째 일차부등식에서 $x$를 포함한 항을 모으고 상수항을 이항하여 $x$의 해의 범위를 구한다.","수직선을 이용하거나 부등식의 논리적 겹침을 파악하여 두 해의 공통 부분을 구한다.","공통 부분의 범위 안에 들어있는 정수 $x$를 모두 찾아 그 개수를 센다.",1-2-3-4
DESIGN_H_014,설계,HARD,"어떤 상품의 가격을 $20\%$ 인상한 후 다시 $20\%$ 인하하여 팔았더니 $9600$원이 되었다. 이 상품의 처음 가격은?","상품의 처음 가격을 미지수 $x$로 둔다.","가격을 $20\%$ 인상한 것을 반영하여 상품 가격을 $x(1+0.2)$로 나타낸다.","다시 $20\%$ 인하한 것을 반영하여 최종 가격을 나타내는 식 $x(1+0.2)(1-0.2)$를 세운다.","이 식이 $9600$원과 같다는 방정식을 세우고 풀어 처음 가격 $x$를 구한다.",1-2-3-4
DESIGN_H_015,설계,HARD,"다항식 $(x-2y)^2 - 3(x-2y) - 10$을 인수분해하는 올바른 과정은?","식에서 반복적으로 나타나는 괄호 안의 식 $x-2y$를 확인한다.","복잡한 식을 간단히 하기 위해 $x-2y$를 새로운 문자 $A$로 치환하여 $A^2 - 3A - 10$을 만든다.","치환된 $A$에 대한 이차식을 $(A-5)(A+2)$로 인수분해한다.","$A$ 자리에 원래의 식 $x-2y$를 다시 대입하여 최종적인 인수분해 결과를 얻는다.",1-2-3-4
DESIGN_H_016,설계,HARD,"$2^x = a$, $3^x = b$일 때, $72^x$을 $a$와 $b$를 사용하여 나타내면?","구하고자 하는 식의 밑인 $72$를 소인수분해하여 $2^3 \times 3^2$으로 바꾼다.","지수법칙을 이용하여 식을 $(2^3 \times 3^2)^x$에서 $(2^3)^x \times (3^2)^x$으로 분배한다.","지수의 곱셈 성질을 이용해 자리를 바꾸어 $(2^x)^3 \times (3^x)^2$ 형태로 변형한다.","$2^x$ 자리에 $a$를, $3^x$ 자리에 $b$를 대입하여 최종 식을 완성한다.",1-2-3-4
DESIGN_H_017,설계,HARD,"이차함수 $y = -x^2 + 4x + 5$의 그래프가 $x$축과 만나는 두 점과 $y$축과 만나는 점을 꼭짓점으로 하는 삼각형의 넓이는?","이차함수 식에 $y=0$을 대입하여 만들어진 이차방정식을 풀고 $x$축과 만나는 두 점의 좌표를 구한다.","구한 두 점 사이의 거리를 계산하여 삼각형의 밑변의 길이를 확정한다.","이차함수 식에 $x=0$을 대입하여 $y$절편을 구하고, 이를 삼각형의 높이로 삼는다.","삼각형의 넓이 공식을 이용하여 밑변과 높이를 곱한 뒤 $2$로 나누어 넓이를 구한다.",1-2-3-4
DESIGN_H_018,설계,HARD,"톱니의 수가 각각 $24$개, $36$개인 두 톱니바퀴 A, B가 서로 맞물려 돌아가고 있다. A가 $15$번 회전할 때, B의 회전수는?","맞물려 돌아가는 두 톱니바퀴에서 톱니의 수와 회전수는 반비례 관계임을 파악한다.","B의 회전수를 $x$로 두고, (A의 톱니 수) $\times$ (A의 회전수) = (B의 톱니 수) $\times$ (B의 회전수) 식을 세운다.","식에 주어진 숫자들을 대입하여 $24 \times 15 = 36 \times x$ 라는 방정식을 만든다.","일차방정식을 풀어 B의 회전수인 $x$의 값을 구한다.",1-2-3-4
DESIGN_H_019,설계,HARD,"일차함수 $y = -2x + 5$의 그래프와 평행하고, $x$절편이 $3$인 일차함수의 식에서 $y$절편은?","두 일차함수의 그래프가 평행하다는 조건으로부터 구하려는 함수의 기울기가 $-2$임을 파악한다.","기울기가 $-2$이므로 일차함수의 식을 $y = -2x + b$로 설정한다.","$x$절편이 $3$이라는 것은 그래프가 점 $(3, 0)$을 지난다는 의미임을 떠올린다.","설정한 식에 $x=3$, $y=0$을 대입하여 $b$의 값, 즉 $y$절편을 구한다.",1-2-3-4
DESIGN_H_020,설계,HARD,"무리수의 계산 $\sqrt{5}(\sqrt{20} - \frac{2}{\sqrt{5}}) + \frac{10}{\sqrt{5}}$을 간단히 한 결과는?","분배법칙을 이용하여 괄호 밖의 $\sqrt{5}$를 괄호 안의 각 항에 곱한다.","첫 번째 항은 $\sqrt{100}$이 되어 $10$으로 나오고, 두 번째 항은 약분되어 $-2$가 됨을 계산한다.","식의 마지막 항인 분수의 분모와 분자에 $\sqrt{5}$를 곱하여 분모를 유리화한다.","유리화된 항을 앞서 계산한 부분과 함께 더하고 빼어 최종 결과를 정리한다.",1-2-3-4
DESIGN_H_021,설계,HARD,"$x$에 대한 이차방정식 $x^2 - 6x + k - 1 = 0$이 중근을 가질 때, 상수 $k$의 값은?","이차방정식이 중근을 갖기 위해서는 식 전체가 완전제곱식 형태가 되어야 함을 떠올린다.","이차항의 계수가 $1$이므로 일차항 계수의 절반의 제곱이 상수항과 같다는 식을 세운다.","일차항 계수 $-6$을 이용하여 $(-3)^2 = k - 1$이라는 $k$에 대한 일차방정식을 작성한다.","방정식을 풀어 상수 $k$의 값을 구한다.",1-2-3-4
DESIGN_H_022,설계,HARD,"$\sqrt{18x}$가 자연수가 되도록 하는 가장 작은 자연수 $x$의 값은?","근호 안의 수 $18$을 소인수분해하여 $2 \times 3^2$으로 나타낸다.","근호 안의 수가 어떤 자연수의 제곱이 되려면 모든 소인수의 지수가 짝수여야 함을 파악한다.","$3$의 지수는 짝수이지만 $2$의 지수는 홀수이므로, $x$가 $2$를 인수로 가져야 함을 알아낸다.","$x = 2 \times (\text{자연수})^2$ 꼴 중에서 가장 작은 자연수를 구하기 위해 $2 \times 1^2$을 계산한다.",1-2-3-4
DESIGN_H_023,설계,HARD,"좌표평면 위 네 점 $(0,0), (6,0), (6,4), (0,4)$를 꼭짓점으로 하는 직사각형의 넓이를 이등분하고 원점을 지나는 직선의 방정식은?","원점을 지나는 직선이 직사각형의 넓이를 이등분하려면 직사각형의 두 대각선의 교점을 지나야 함을 파악한다.","두 대각선의 양 끝점의 좌표를 이용하여 교점(중점)의 좌표가 $(3, 2)$임을 계산한다.","구하고자 하는 직선이 원점 $(0, 0)$과 점 $(3, 2)$를 지난다는 것을 확인한다.","두 점을 이용하여 기울기를 구하고 $y=ax$ 꼴의 직선의 방정식을 완성한다.",1-2-3-4
DESIGN_H_024,설계,HARD,"산을 오를 때는 시속 $3\text{km}$로 걷고, 내려올 때는 다른 길로 시속 $4\text{km}$로 걸어서 총 $10\text{km}$를 걷는 데 $3$시간이 걸렸다. 올라간 길의 거리는?","올라간 길의 거리를 $x$, 내려온 길의 거리를 $y$로 두고 두 미지수를 설정한다.","총 거리가 $10\text{km}$라는 것을 이용하여 첫 번째 일차방정식 $x+y=10$을 세운다.","시간을 구하는 공식을 이용하여 걸린 시간에 대한 두 번째 일차방정식 $\frac{x}{3} + \frac{y}{4} = 3$을 세운다.","두 일차방정식을 연립하여 풀고 올라간 거리인 $x$의 값을 구한다.",1-2-3-4
DESIGN_H_025,설계,HARD,"세로의 길이가 가로의 길이보다 $3\text{cm}$ 더 긴 직사각형이 있다. 넓이가 $28\text{cm}^2$일 때, 가로의 길이는?","구하고자 하는 직사각형의 가로의 길이를 미지수 $x$로 둔다.","세로의 길이를 가로의 길이를 이용하여 $x+3$으로 표현한다.","직사각형의 넓이 공식을 이용하여 $x(x+3) = 28$이라는 이차방정식을 세운다.","식을 전개하고 인수분해하여 $x$를 구한 뒤, 길이는 양수라는 조건을 이용하여 답을 확정한다.",1-2-3-4
DESIGN_VH_001,설계,VERY HARD,"이차함수 $y=ax^2+bx+c$의 그래프가 세 점 $(0, 3), (1, 0), (2, -1)$을 지날 때, 이 그래프의 꼭짓점의 $y$좌표는?","그래프가 $y$축과 만나는 점인 $(0, 3)$을 식에 대입하여 상수항 $c=3$임을 구한다.","나머지 두 점 $(1, 0)$과 $(2, -1)$을 각각 대입하여 $a$와 $b$에 대한 연립방정식을 세운다.","연립방정식을 풀어 $a=1, b=-4$를 구하고 온전한 이차함수 식 $y=x^2-4x+3$을 완성한다.","식을 $y=(x-2)^2-1$ 형태의 표준형으로 변형하여 꼭짓점의 $y$좌표인 $-1$을 찾는다.",1-2-3-4
DESIGN_VH_002,설계,VERY HARD,"$\sqrt{120x}$와 $\sqrt{\frac{135}{y}}$가 모두 자연수가 되도록 하는 가장 작은 자연수 $x, y$에 대하여 $x+y$의 값은?","두 무리수 안의 수 $120$과 $135$를 각각 소인수분해하여 $2^3 \times 3 \times 5$와 $3^3 \times 5$로 나타낸다.","$\sqrt{120x}$가 자연수가 되기 위해 모든 소인수의 지수를 짝수로 만드는 가장 작은 $x = 2 \times 3 \times 5 = 30$을 구한다.","$\sqrt{\frac{135}{y}}$가 자연수가 되기 위해 분모에서 약분하여 지수를 짝수로 만드는 가장 작은 $y = 3 \times 5 = 15$를 구한다.","구해진 두 최소 자연수 $x$와 $y$를 더하여 최종 값 $45$를 계산한다.",1-2-3-4
DESIGN_VH_003,설계,VERY HARD,"일차부등식 $3x - a \le 5x + 2$를 만족하는 음의 정수 $x$가 딱 $3$개 존재할 때, 상수 $a$의 값의 범위는?","$x$가 포함된 항을 이항하여 부등식을 정리하고 양변을 나누어 $x \ge -\frac{a+2}{2}$ 형태로 해를 구한다.","조건을 만족하는 음의 정수 $x$가 $-1, -2, -3$이어야 함을 파악한다.","경계값이 되는 $-\frac{a+2}{2}$가 수직선 상에서 $-4$와 $-3$ 사이에 위치해야 한다는 부등식 $-4 < -\frac{a+2}{2} \le -3$을 세운다.","세워진 겹부등식을 풀어서 상수 $a$의 최종 범위를 확정한다.",1-2-3-4
DESIGN_VH_004,설계,VERY HARD,"$x$에 대한 이차방정식 $x^2 - 2kx + k^2 - 3k + 6 = 0$이 중근을 가질 때, 이차방정식 $x^2 - (k+3)x + 3k = 0$의 두 근을 구하는 과정은?","첫 번째 이차방정식이 중근을 가질 조건인 '일차항 계수의 절반의 제곱 = 상수항'을 떠올린다.","$(-k)^2 = k^2 - 3k + 6$ 식을 세우고 정리하여 상수 $k=2$를 구한다.","구한 $k=2$를 두 번째 이차방정식에 대입하여 $x^2 - 5x + 6 = 0$을 완성한다.","완성된 방정식을 $(x-2)(x-3)=0$으로 인수분해하여 두 근 $x=2$ 또는 $x=3$을 구한다.",1-2-3-4
DESIGN_VH_005,설계,VERY HARD,"지수법칙을 활용하여 방정식 $2^{x+2} + 2^x = 40$을 만족하는 자연수 $x$에 대해 $x^2 - x$의 값은?","주어진 방정식 좌변의 $2^{x+2}$을 지수법칙을 이용하여 $2^2 \times 2^x$로 분리한다.","좌변을 공통인수 $2^x$로 묶어내어 $2^x(2^2 + 1) = 40$의 형태로 변형한다.","괄호 안을 계산한 $5$로 양변을 나누어 $2^x = 8$을 만들고 $x=3$을 구한다.","구한 $x=3$을 주어진 다항식 $x^2 - x$에 대입하여 최종 값 $6$을 계산한다.",1-2-3-4
DESIGN_VH_006,설계,VERY HARD,"다항식 $(x^2-2x)(x^2-2x-3)-4$를 완전히 인수분해한 결과는?","식에서 반복적으로 나타나는 부분인 $x^2-2x$를 새로운 문자 $A$로 치환하여 $A(A-3)-4$로 만든다.","치환된 식을 전개한 $A^2-3A-4$를 $(A-4)(A+1)$로 인수분해한다.","$A$ 자리에 원래의 식 $x^2-2x$를 다시 대입하여 $(x^2-2x-4)(x^2-2x+1)$을 얻는다.","뒤의 괄호가 완전제곱식임을 파악하고 한 번 더 인수분해하여 $(x^2-2x-4)(x-1)^2$으로 완성한다.",1-2-3-4
DESIGN_VH_007,설계,VERY HARD,"어떤 일을 완성하는 데 A와 B가 함께 하면 $6$일이 걸리고, A가 $2$일 동안 한 후 나머지를 B가 $12$일 동안 하면 완성된다. 이 일을 A 혼자서 완성하려면 며칠이 걸리는가?","전체 일의 양을 $1$로 두고, A와 B가 하루에 할 수 있는 일의 양을 각각 $x, y$로 설정한다.","두 사람이 함께 일한 조건을 바탕으로 첫 번째 일차방정식 $6x + 6y = 1$을 세운다.","나누어 일한 조건을 바탕으로 두 번째 일차방정식 $2x + 12y = 1$을 세운다.","연립방정식을 풀어 $x = \frac{1}{10}$을 구하고, A 혼자서 $10$일이 걸린다는 결론을 내린다.",1-2-3-4
DESIGN_VH_008,설계,VERY HARD,"함수 $f(n) = \frac{1}{\sqrt{n} + \sqrt{n+1}}$에 대하여 $f(1) + f(2) + \dots + f(99)$의 값은?","주어진 함수식의 분모와 분자에 $\sqrt{n} - \sqrt{n+1}$을 곱하여 분모를 유리화한다.","분모가 $-1$이 됨을 확인하고 식을 $f(n) = \sqrt{n+1} - \sqrt{n}$으로 간단히 정리한다.","정리된 식에 $n=1$부터 $n=99$까지 차례대로 대입하여 덧셈 식으로 나열한다.","이웃한 항들이 부호가 반대되어 연쇄적으로 소거됨을 파악하고 남은 $\sqrt{100} - \sqrt{1}$을 계산하여 $9$를 구한다.",1-2-3-4
DESIGN_VH_009,설계,VERY HARD,"좌표평면 위의 세 점 $(-2, -3), (1, 3), (k, 3k-1)$이 한 직선 위에 있을 때, 상수 $k$의 값은?","세 점이 한 직선 위에 있으려면 어느 두 점을 잡아도 기울기가 같아야 함을 떠올린다.","앞의 두 점 $(-2, -3)$과 $(1, 3)$을 이용하여 직선의 기울기가 $2$임을 계산한다.","두 번째 점 $(1, 3)$과 세 번째 점 $(k, 3k-1)$을 이용한 기울기 식 $\frac{(3k-1) - 3}{k - 1} = 2$를 세운다.","분모를 양변에 곱하여 일차방정식을 풀고 최종 해인 $k=2$를 구한다.",1-2-3-4
DESIGN_VH_010,설계,VERY HARD,"이차함수 $y=-x^2+4x-1$의 그래프를 $x$축 방향으로 $a$만큼, $y$축 방향으로 $b$만큼 평행이동하였더니 $y=-x^2-2x+5$의 그래프와 일치하였다. $a+b$의 값은?","첫 번째 이차함수 식을 표준형 $y=-(x-2)^2+3$으로 변형하여 꼭짓점 $(2, 3)$을 찾는다.","두 번째 이차함수 식을 표준형 $y=-(x+1)^2+6$으로 변형하여 꼭짓점 $(-1, 6)$을 찾는다.","두 꼭짓점의 $x$좌표와 $y$좌표의 차이를 계산하여 평행이동량 $a = -3, b = 3$을 구한다.","구한 두 평행이동량을 더하여 $a+b=0$을 답으로 도출한다.",1-2-3-4
DESIGN_VH_011,설계,VERY HARD,"한 자리 자연수 $a, b$ ($a>b$)에 대하여 $0.\dot{a}\dot{b} - 0.\dot{b}\dot{a} = 0.\dot{4}\dot{5}$ 이고 $a+b=9$ 일 때, $ab$의 값은?","주어진 순환소수 뺄셈식을 분수로 변환하여 $\frac{10a+b}{99} - \frac{10b+a}{99} = \frac{45}{99}$를 세운다.","분자를 동류항끼리 계산하여 $9a - 9b = 45$로 만들고, 양변을 $9$로 나누어 $a - b = 5$를 구한다.","도출된 $a-b=5$와 주어진 조건 $a+b=9$를 연립방정식으로 묶어 푼다.","연립방정식의 해인 $a=7, b=2$를 구하고, 두 수의 곱인 $14$를 계산한다.",1-2-3-4
DESIGN_VH_012,설계,VERY HARD,"이차방정식 $x^2+px+q=0$을 푸는데 A는 $p$를 잘못 보아 근이 $-2, 6$이 되었고, B는 $q$를 잘못 보아 근이 $-1+\sqrt{3}, -1-\sqrt{3}$이 되었다. 올바른 두 근은?","A가 구한 두 근을 이용하여 이차방정식을 만들고, 상수항 부분만 취해 올바른 $q = -12$를 알아낸다.","B가 구한 두 근을 더하여 일차항 계수의 부호를 반대로 한 값과 같다는 성질을 이용해 올바른 $p = 2$를 알아낸다.","구한 $p, q$를 원래 식에 대입하여 온전한 이차방정식 $x^2+2x-12=0$을 완성한다.","근의 공식을 사용하여 올바른 방정식의 두 해 $x = -1 \pm \sqrt{13}$을 최종적으로 구한다.",1-2-3-4
DESIGN_VH_013,설계,VERY HARD,"어느 중학교의 작년 전체 학생 수는 $1000$명이었다. 올해는 남학생이 $5\%$ 감소하고 여학생이 $10\%$ 증가하여 전체적으로 $1040$명이 되었다. 올해의 남학생 수는?","작년 남학생을 $x$, 여학생을 $y$로 두고 첫 번째 방정식 $x + y = 1000$을 세운다.","올해 학생 수의 변화량(증감)만을 이용하여 두 번째 방정식 $-0.05x + 0.1y = 40$을 세운다.","연립방정식을 풀어 작년 남학생 수인 $x = 400$명을 구한다.","작년 남학생 수 $400$명에 $(1 - 0.05)$를 곱하여 최종적으로 올해 남학생 수인 $380$명을 구한다.",1-2-3-4
DESIGN_VH_014,설계,VERY HARD,"$x = \sqrt{3}-2$일 때, 다항식 $x^2 + 4x - 1$의 값은?","주어진 무리수 식에서 유리수 부분인 $-2$를 좌변으로 이항하여 $x+2 = \sqrt{3}$을 만든다.","등식의 양변을 제곱하여 근호를 없앤 $(x+2)^2 = 3$을 만든다.","좌변을 전개하고 상수항을 우변으로 이항하여 $x^2 + 4x = -1$이라는 식을 유도해낸다.","유도된 식의 값을 문제의 다항식 $x^2 + 4x - 1$에 대입하여 최종 결과인 $-2$를 계산한다.",1-2-3-4
DESIGN_VH_015,설계,VERY HARD,"$x=\frac{\sqrt{5}+1}{2}, y=\frac{\sqrt{5}-1}{2}$일 때, $x^3y - xy^3$의 값은?","주어진 식에 $x, y$를 바로 대입하지 않고, 공통인수 $xy$로 묶어 $xy(x^2 - y^2)$을 만든다.","괄호 안의 식을 합차공식을 이용하여 $xy(x+y)(x-y)$로 완전히 인수분해한다.","주어진 $x, y$의 값을 더하고 빼고 곱하여 $x+y=\sqrt{5}$, $x-y=1$, $xy=1$을 각각 구한다.","구해진 세 값을 인수분해된 식에 대입하고 곱하여 최종 결과인 $\sqrt{5}$를 구한다.",1-2-3-4
DESIGN_VH_016,설계,VERY HARD,"$100\text{L}$의 물이 들어 있는 물통에서 일정한 속도로 물을 빼내고 있다. $10$분 후에 남은 물의 양이 $80\text{L}$일 때, 물통이 완전히 비는 데 걸리는 총 시간은?","물을 빼내는 시간을 $x$분, 남은 물의 양을 $y\text{L}$로 두고 두 변수를 설정한다.","$10$분 동안 $20\text{L}$가 줄었으므로 $1$분당 줄어드는 물의 양이 $2\text{L}$임을 계산하여 기울기를 구한다.","초기 물의 양과 기울기를 이용하여 일차함수 식 $y = -2x + 100$을 세운다.","물이 완전히 비면 $y=0$이 되므로, 이를 식에 대입하여 총 걸리는 시간인 $x=50$분을 구한다.",1-2-3-4
DESIGN_VH_017,설계,VERY HARD,"가로 $20\text{m}$, 세로 $15\text{m}$인 직사각형 화단에 폭이 $x\text{m}$로 일정한 십자(+) 모양의 길을 냈다. 길을 제외한 화단의 넓이가 $204\text{m}^2$일 때, $x$의 값은?","십자 모양의 길을 화단의 가장자리로 밀어붙여 하나의 온전한 작은 직사각형을 만든다고 상상한다.","길이 제외된 새로운 직사각형의 가로와 세로 길이를 각각 $(20-x)$와 $(15-x)$로 표현한다.","새로운 직사각형의 넓이에 대한 이차방정식 $(20-x)(15-x) = 204$를 세운다.","방정식을 전개하고 인수분해하여 푼 뒤, 폭 $x$는 $15$보다 작아야 한다는 조건으로 해 $x=3$을 확정한다.",1-2-3-4
DESIGN_VH_018,설계,VERY HARD,"어떤 렌터카 요금은 처음 $10$시간 동안은 기본요금 $50000$원이고, 이후에는 $1$시간마다 $4000$원씩 추가된다. $24$시간 무제한 요금제가 $80000$원일 때, 무제한 요금제를 선택하는 것이 유리해지는 최소 이용 시간은?","총 이용 시간을 $x$시간($x>10$)으로 두고, 시간당 추가 요금이 적용되는 시간을 $(x-10)$으로 나타낸다.","기본요금제 이용 시의 총 요금을 $50000 + 4000(x-10)$으로 수식화한다.","무제한 요금제가 유리하려면 기본요금제의 요금이 더 비싸야 하므로 $50000 + 4000(x-10) > 80000$ 부등식을 세운다.","부등식을 풀어 $x > 17.5$를 구하고, 자연수 시간 단위이므로 $18$시간부터 유리함을 결론짓는다.",1-2-3-4
DESIGN_VH_019,설계,VERY HARD,"이차함수 $y=x^2-6x+a$의 그래프의 꼭짓점이 직선 $y=2x-5$ 위에 있을 때, 이 이차함수 그래프의 $y$절편은?","주어진 이차함수 식을 완전제곱식으로 변형하여 $y = (x-3)^2 + a-9$ 형태의 표준형으로 만든다.","표준형 식으로부터 이 이차함수 그래프의 꼭짓점의 좌표가 $(3, a-9)$임을 파악한다.","꼭짓점이 주어진 직선 위에 있으므로 직선의 방정식에 $x=3, y=a-9$를 대입한다.","대입하여 얻은 일차방정식을 풀어 $a=10$을 구하고, 이것이 이차함수의 상수항이므로 곧 $y$절편임을 확정한다.",1-2-3-4
DESIGN_VH_020,설계,VERY HARD,"방정식 $\sqrt{x} + \sqrt{y} = \sqrt{18}$을 만족하는 음이 아닌 정수 쌍 $(x, y)$의 개수는?","우변의 무리수를 간단히 하여 $\sqrt{18} = 3\sqrt{2}$로 나타낸다.","좌변의 두 무리수가 더해져서 $3\sqrt{2}$가 되려면 $\sqrt{x}=a\sqrt{2}, \sqrt{y}=b\sqrt{2}$ 꼴이어야 함을 추론한다.","$a+b=3$을 만족하는 음이 아닌 정수 쌍 $(a, b)$가 $(0, 3), (1, 2), (2, 1), (3, 0)$의 $4$가지임을 찾는다.","각 경우를 제곱하여 얻는 $(x, y)$ 역시 $4$쌍이 되므로 정답을 $4$로 결론 내린다.",1-2-3-4
DESIGN_VH_021,설계,VERY HARD,"연립부등식 $2x - a \le 3$, $x + 4 < 3x$의 해가 존재하지 않을 때, 상수 $a$의 값의 범위는?","첫 번째 부등식을 $x$에 대하여 풀어 $x \le \frac{a+3}{2}$의 해의 범위를 구한다.","두 번째 부등식에서 $x$를 우변으로 모으고 양변을 나누어 $x > 2$의 해의 범위를 구한다.","두 해의 범위가 수직선 상에서 겹치지 않아야 해가 없음을 파악한다.","경계값의 위치 관계를 나타내는 부등식 $\frac{a+3}{2} \le 2$를 세우고 풀어 최종 범위인 $a \le 1$을 구한다.",1-2-3-4
DESIGN_VH_022,설계,VERY HARD,"이차함수 $y=\frac{1}{2}x^2$의 그래프를 평행이동하였더니 꼭짓점의 좌표가 $(2, -3)$이 되었다. 이 평행이동한 그래프가 지나는 점 $(4, y)$의 $y$값은?","평행이동을 하더라도 $x^2$의 계수인 $\frac{1}{2}$은 변하지 않음을 떠올린다.","꼭짓점이 $(2, -3)$이고 계수가 $\frac{1}{2}$인 새로운 이차함수 식 $y = \frac{1}{2}(x-2)^2 - 3$을 바로 세운다.","구하고자 하는 점의 좌표에 포함된 $x=4$를 새롭게 구한 함수 식에 대입한다.","괄호 안의 거듭제곱과 곱셈을 먼저 계산한 후 뺄셈을 하여 최종 $y$값인 $-1$을 구한다.",1-2-3-4
DESIGN_VH_023,설계,VERY HARD,"자연수 $2^{20} \times 5^{17} \times 3$은 몇 자리의 자연수인가?","자릿수를 알기 위해 $2$와 $5$를 짝지어 $10$의 거듭제곱 형태로 만들 계획을 세운다.","$2$의 지수 $20$을 $3$과 $17$로 쪼개어 식을 $2^3 \times (2^{17} \times 5^{17}) \times 3$으로 분리한다.","지수법칙을 이용하여 식을 $24 \times 10^{17}$으로 정리한다.","두 자리 수 $24$ 뒤에 $0$이 $17$개 붙는 형태임을 파악하여 총 $19$자리 자연수임을 계산한다.",1-2-3-4
DESIGN_VH_024,설계,VERY HARD,"다항식 $x^4 - 13x^2 + 36$을 완전히 인수분해한 결과는?","차수가 짝수만 있는 복이차식 형태이므로 $x^2$을 새로운 문자 $A$로 치환하여 $A^2 - 13A + 36$을 만든다.","치환된 이차식을 일반적인 인수분해 공식으로 풀어 $(A-4)(A-9)$로 만든다.","$A$ 자리에 원래의 문자 $x^2$을 다시 대입하여 $(x^2-4)(x^2-9)$로 되돌린다.","각 괄호 안의 식이 제곱의 차 형태임을 파악하고 합차공식을 연이어 적용하여 $(x-2)(x+2)(x-3)(x+3)$으로 완성한다.",1-2-3-4
DESIGN_VH_025,설계,VERY HARD,"다항식 $x^2 - y^2 - 4x + 2y + 3$을 올바르게 인수분해하는 과정은?","$x$가 포함된 항끼리, $y$가 포함된 항끼리 모아서 $(x^2-4x) - (y^2-2y) + 3$으로 식을 정리한다.","각 괄호 안을 완전제곱식으로 만들기 위해 필요한 상수를 더하고 빼서 $(x-2)^2 - 4 - (y-1)^2 + 1 + 3$으로 바꾼다.","상수항들이 모두 소거되어 전체 식이 $(x-2)^2 - (y-1)^2$ 형태의 합차 공식 꼴이 됨을 확인한다.","합차 공식을 적용하여 두 식을 더하고 뺀 뒤 괄호를 풀어 $(x+y-3)(x-y-1)$로 최종 완성한다.",1-2-3-4
DESIGN_T_001,설계,TOUGH,"일차방정식 $3x + 5y = 32$를 만족하는 자연수 $x, y$의 순서쌍 $(x, y)$의 개수는?","주어진 방정식을 미지수 $x$에 대하여 풀어 $x = \frac{32-5y}{3}$의 형태로 정리한다.","$x$가 자연수가 되려면 분자의 $32-5y$가 양수이면서 $3$의 배수가 되어야 함을 파악한다.","자연수 $y$에 $1, 2, 3, \dots$을 차례대로 대입하여 $32-5y$가 $3$의 배수가 되는 조건을 찾는다.","조건을 만족하는 $y$의 값을 구하고, 그에 따른 $x$를 계산하여 유효한 순서쌍의 개수를 센다.",1-2-3-4
